-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2020|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2020||||||||||||
||Januari|202001|Mei|202005|September|202009|||||||
||Februari|202002|Juni|202006|Oktober|202010|||||||
||Maart|202003|Juli|202007|November|202011|||||||
||April|202004|Augustus|202008|December|202012|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------202001----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1488832|6584859,679999998|635162|2845978,660000001|836119|3668291,599999998|17551|70589,42|
|||||||||
Bodemvissen :|||||||||
Totaal|1119678|5417225,739999997|460487|2238408,8000000017|647686|3135951,9099999983|11505|42865,02999999999|
Schelvis|10615|20553,950000000015|3834|7125,689999999999|6781|13428,259999999998|-|-|
Kabeljauw|5011|20036,079999999994|2223|9420,45|2753|10487,89|35|127,74000000000001|
Koolvis|26|44,65|8|14,469999999999999|18|30,18|-|-|
Wijting|34330|36675,229999999996|17003|15779,579999999998|17102|20717,35|225|178,29999999999998|
Pollak|1983|8646,320000000003|821|3579,99|1160|5060,669999999999|2|5,66|
Leng|1904|5997,02|581|1693,7900000000002|1323|4303,23|-|-|
Heek|3873|9154,640000000001|1035|2688,18|2838|6466,460000000003|-|-|
Steenbolk|51001|41829,36000000004|16051|11744,029999999997|34236|29061,430000000008|714|1023,8999999999999|
Schol|276084|591597,7499999999|92353|195119,21000000002|180191|388860,4499999999|3540|7618,09|
Bot|1852|1288,7799999999997|1191|808,9400000000002|206|137,84|455|342|
Schar|7651|4839,169999999998|3019|1830,46|4024|2353,460000000001|608|655,25|
Tong|199200|2908153,019999998|83623|1219443,9200000016|114387|1670961,7699999996|1190|17747,329999999998|
Tarbot|19964|273784,68000000046|8950|118931,79000000001|10635|149991,72999999992|379|4861,16|
Griet|17885|149920,71000000005|9834|81327,61|7833|66790,53000000003|218|1802,57|
Tongschar|31930|172212,25000000017|13574|74487,21|18221|96606,44000000003|135|1118,6|
Schartong|55459|189141,3200000001|25207|74854,61|30252|114286,71000000004|-|-|
Heilbot|18|236,79|18|236,79|-|-|-|-|
Hondstong|9763|18164,560000000005|4587|8411,550000000001|5176|9753,010000000004|-|-|
Rog|128239|262308,1799999999|59947|112676,53000000006|67685|148373,27000000002|607|1258,3799999999999|
Rode poon|66297|94858,88000000005|32125|47333,71999999999|32347|45188,17000000002|1825|2336,99|
Grauwe poon|2648|824,34|889|298,67|1759|525,6700000000001|-|-|
Engelse poon|46461|33442,13999999999|18142|12273,599999999997|27936|20901,019999999993|383|267,52|
Zeewolf|-|-|-|-|-|-|-|-|
Zeeduivel|42180|404601,83999999985|19171|166842,87000000008|22799|235304,85999999978|210|2454,1099999999997|
Kongeraal|4197|3757,3100000000004|1441|1186,37|2741|2563,7100000000005|15|7,23|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|12655|30966,090000000015|4793|11426,56|7803|19357,640000000003|59|181,89000000000001|
Zeebaars|3364|30257,66|1299|11354,809999999998|2057|18862,289999999994|8|40,56|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|66069|31832,120000000006|31545|14555,86|33730|16997,779999999995|794|278,48|
Zandhaai|78|28,259999999999998|75|26,009999999999998|3|2,25|-|-|
Andere soorten|18941|72072,64000000003|7148|32935,52999999999|11690|38577,840000000026|103|559,27|
|||||||||
Pelagische vis :|||||||||
Totaal|8336|7076,830000000001|7688|5900,780000000001|390|757,0400000000001|258|419,01|
Horsmakereel|981|770,83|877|646,0300000000001|104|124,80000000000001|-|-|
Haring|5342|1370,1499999999999|5210|1293,8300000000002|65|43,95|67|32,37|
Makreel|1822|4549,21|1601|3960,92|221|588,2900000000001|-|-|
Sprot|191|386,64|-|-|-|-|191|386,64|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|360818|1160557,11|166987|601669,0799999998|188043|531582,6499999999|5788|27305,38|
Garnaal|4863|46497,729999999996|2755|28406,45|-|-|2108|18091,28|
Langoestine geheel|2230|16620,079999999998|2215|16504,100000000002|15|115,97999999999999|-|-|
Langoestine staartje|-|-|-|-|-|-|-|-|
Noordzeekrab|1606|7044,050000000002|634|2803,07|885|4057,9200000000005|87|183,06|
Zeekreeft|120|1262,9099999999996|86|876,5699999999999|34|386,34000000000003|-|-|
Andere schaaldieren|2860|1534,3500000000004|440|310,7200000000001|2295|1222,38|125|1,25|
Schelpen|58545|108655,52999999994|24888|46877,18|33260|60875,790000000015|397|902,5600000000001|
Inktvis|281768|968586,6800000002|131060|500241,00999999983|148027|460826,5699999999|2681|7519,1|
Wulk|8826|10355,780000000002|4909|5649,980000000001|3527|4097,669999999999|390|608,13|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202002----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|922477|4928499,160000001|420925|2201078,09|496544|2711127,930000002|5008|16293,140000000003|
|||||||||
Bodemvissen :|||||||||
Totaal|669861|4192450,9200000004|307645|1872190,1400000001|359366|2311517,600000002|2850|8743,180000000002|
Schelvis|8156|16521,530000000002|3681|7601,929999999999|4475|8919,600000000002|-|-|
Kabeljauw|3007|11074,150000000001|1307|4834,82|1690|6204,429999999999|10|34,9|
Koolvis|165|315,58|84|144,08999999999997|81|171,48999999999998|-|-|
Wijting|27297|31116,950000000004|14527|15886,79|12612|15115,720000000007|158|114,43999999999998|
Pollak|1889|8639,23|666|2891,63|1223|5747,6|-|-|
Leng|928|2823,269999999999|436|1230,7500000000002|492|1592,5199999999998|-|-|
Heek|2193|5636,049999999999|1187|2756,9900000000007|1006|2879,0600000000004|-|-|
Steenbolk|35699|28738,510000000002|9851|8947,369999999999|25663|19638,290000000005|185|152,85|
Schol|73054|163660,93000000008|37901|83671,59000000005|34730|79378,05000000005|423|611,29|
Bot|7081|5304,320000000001|4909|3888,350000000001|2001|1338,5900000000001|171|77,38|
Schar|10428|8544,75|4878|3562,560000000001|5312|4797,509999999999|238|184,68|
Tong|169489|2649152,0700000008|76053|1159957,4100000004|93167|1485492,1800000013|269|3702,48|
Tarbot|11345|187690,4499999999|5355|87000,67000000003|5911|99770,02|79|919,76|
Griet|14148|146198,08000000005|7164|71895,99000000002|6899|73476,00999999998|85|826,08|
Tongschar|18747|110797,94000000005|8712|46488,26999999999|9979|63996,81999999999|56|312,85|
Schartong|17629|51431,439999999966|10225|25974,61|7404|25456,83|-|-|
Heilbot|-|-|-|-|-|-|-|-|
Hondstong|9598|14800,500000000002|3142|4462,13|6456|10338,369999999999|-|-|
Rog|81875|219196,7000000002|38725|100930,91999999997|43108|118183,84000000003|42|81,94|
Rode poon|41457|85831,38000000003|17528|37991,509999999995|23523|47431,42999999998|406|408,44|
Grauwe poon|1610|730,97|251|76,41|1359|654,56|-|-|
Engelse poon|28429|33510,72|10935|13321,880000000001|17423|20141,030000000013|71|47,809999999999995|
Zeewolf|-|-|-|-|-|-|-|-|
Zeeduivel|25565|264256,3599999999|14091|137956,04000000004|11408|125493,28000000006|66|807,04|
Kongeraal|2973|2855,5299999999993|1413|1346,8000000000002|1560|1508,729999999999|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|15037|64480,27999999999|3205|8590,63|11812|55861,049999999996|20|28,6|
Zeebaars|337|3423,439999999999|150|1673,72|187|1749,7200000000003|-|-|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|50050|29768,92|25248|14859,759999999998|24255|14669,38|547|239,78|
Zandhaai|22|10,56|22|10,56|-|-|-|-|
Andere soorten|11653|45940,31000000003|5999|24235,960000000006|5630|21511,489999999998|24|192,86|
|||||||||
Pelagische vis :|||||||||
Totaal|4087|3132,55|3131|1414,1299999999999|939|1697,44|17|20,979999999999997|
Horsmakereel|958|1008,3900000000002|393|414,65|565|593,7400000000001|-|-|
Haring|2611|665,18|2588|639,89|13|20,85|10|4,4399999999999995|
Makreel|511|1442,44|150|359,59|361|1082,85|-|-|
Sprot|7|16,54|-|-|-|-|7|16,54|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|248529|732915,6900000004|110149|327473,82000000007|136239|397912,88999999996|2141|7528,9800000000005|
Garnaal|805|6634,85|235|2057,1|-|-|570|4577,75|
Langoestine geheel|1228|10037,96|1207|9849,38|21|188,58|-|-|
Langoestine staartje|-|-|-|-|-|-|-|-|
Noordzeekrab|1016|7967,689999999999|490|3433,3200000000006|518|4487,81|8|46,56|
Zeekreeft|78|771,77|65|688,75|13|83,02000000000001|-|-|
Andere schaaldieren|1419|2624,76|504|1099,81|832|1501,7200000000003|83|23,23|
Schelpen|55270|107617|24347|47671,9|30643|59431,75000000001|280|513,35|
Inktvis|173540|578728,6000000003|74663|251868,8800000001|97868|324718,9199999999|1009|2140,8|
Wulk|15173|18533,06|8638|10804,680000000002|6344|7501,09|191|227,29|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202003----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1084527|5572875,220000001|442405|2273133,390000001|614988|3204977,8400000003|27134|94763,98999999999|
|||||||||
Bodemvissen :|||||||||
Totaal|780722|4881281,710000001|333089|2013996,180000001|431379|2796502,8100000005|16254|70782,71999999999|
Schelvis|5240|8955,239999999998|2190|4251,549999999998|3050|4703,690000000001|-|-|
Kabeljauw|3970|10762,050000000001|2224|5779,229999999999|1715|4869,250000000002|31|113,57000000000001|
Koolvis|202|308,07|29|42,84|173|265,2300000000001|-|-|
Wijting|22807|18422,359999999997|10358|8135,1100000000015|12225|10134,639999999998|224|152,60999999999999|
Pollak|4643|14469,800000000001|1369|4145,529999999999|3274|10324,27|-|-|
Leng|1890|3841,020000000001|676|1388,12|1214|2452,900000000001|-|-|
Heek|2291|4819,95|926|2301,3799999999997|1365|2518,5699999999997|-|-|
Steenbolk|30810|14530,990000000007|10534|3969,58|19997|10365,830000000002|279|195,57999999999998|
Schol|61905|130057,02000000002|24569|49358,520000000004|35881|78821,26000000004|1455|1877,2400000000005|
Bot|24188|11142,44|15446|7348,98|5341|2486,82|3401|1306,64|
Schar|19028|11742,000000000004|5516|2947,539999999999|12696|8287,099999999999|816|507,36|
Tong|291495|3758538,100000001|127681|1552587,7500000014|158965|2150033,8400000003|4849|55916,51000000001|
Tarbot|9803|97877,71999999997|4080|41819,01000000002|5611|55054,019999999946|112|1004,69|
Griet|19274|126682,73000000004|9248|59806,07000000004|9659|64611,049999999974|367|2265,6099999999997|
Tongschar|26995|82222,09000000004|9733|28266,70000000001|17115|53396,540000000015|147|558,8499999999999|
Schartong|11457|27951,570000000014|4818|12999,649999999998|6639|14951,919999999995|-|-|
Heilbot|51|646,1999999999999|-|-|51|646,2|-|-|
Hondstong|5584|7829,160000000002|2287|3559,04|3297|4270,120000000002|-|-|
Rog|55626|139238,06999999992|31657|72953,39000000001|23588|65630,15999999999|381|654,52|
Rode poon|44901|56829,800000000025|16999|23222,53000000001|25932|31329,179999999997|1970|2278,09|
Grauwe poon|1395|364,64000000000004|839|208,02999999999997|556|156,60999999999999|-|-|
Engelse poon|50624|32063,620000000014|15928|10586,690000000002|33705|21105,480000000003|991|371,45|
Zeewolf|1|3,05|-|-|1|3,05|-|-|
Zeeduivel|30408|242299,63000000006|11271|86404,88|18898|153322,9100000001|239|2571,84|
Kongeraal|1970|1386,2299999999998|570|298,79|1400|1087,44|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|8864|31955,430000000015|2952|10906,61|5865|20956,640000000003|47|92,17999999999999|
Zeebaars|6|48|-|-|-|-|6|48|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|37488|20005,56|17422|8740,68|19263|11057,9|803|206,97999999999996|
Zandhaai|-|-|-|-|-|-|-|-|
Andere soorten|7806|26289,170000000013|3767|11967,98|3903|13660,19000000001|136|661|
|||||||||
Pelagische vis :|||||||||
Totaal|6494|3448,7200000000003|3482|2035,44|2992|1394,0500000000002|20|19,23|
Horsmakereel|1620|917,3199999999998|678|474,14000000000004|942|443,17999999999995|-|-|
Haring|2869|541,08|1895|354,94|955|168,96|19|17,18|
Makreel|2004|1988,27|909|1206,3600000000001|1095|781,9100000000001|-|-|
Sprot|1|2,05|-|-|-|-|1|2,05|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|297311|688144,7899999997|105834|257101,76999999996|180617|407080,97999999986|10860|23962,04|
Garnaal|7346|42186,69000000001|5488|29607,730000000007|886|5189,24|972|7389,72|
Langoestine geheel|8926|53896,53999999999|4311|18485,329999999998|4615|35411,21|-|-|
Langoestine staartje|-|-|-|-|-|-|-|-|
Noordzeekrab|1097|6134,9000000000015|327|2005,1899999999998|741|3968,5|29|161,20999999999998|
Zeekreeft|65|649,4|50|512,59|15|136,81|-|-|
Andere schaaldieren|2096|2357,2100000000014|581|870,7499999999999|1318|1292,15|197|194,31|
Schelpen|72962|73729,23999999998|26457|28593,629999999997|43263|42245,96999999998|3242|2889,64|
Inktvis|190316|495087,46999999974|62953|170524,44999999995|122418|312532,35999999987|4945|12030,66|
Wulk|14503|14103,340000000004|5667|6502,099999999999|7361|6304,74|1475|1296,5|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202004----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - April 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|974049|4156438,9399999995|402228|1647787,37|533073|2347361,0000000005|38748|161290,57000000004|
|||||||||
Bodemvissen :|||||||||
Totaal|821559|3819090,0299999993|344870|1496911,57|443097|2182625,2100000004|33592|139553,25000000003|
Schelvis|11852|11904,739999999989|4245|4130,970000000001|7246|7552,160000000003|361|221,60999999999999|
Kabeljauw|6054|15570,380000000005|2660|6962,099999999997|3110|8028,419999999998|284|579,8599999999999|
Koolvis|17|13,719999999999999|13|10,579999999999998|4|3,14|-|-|
Wijting|15367|12998,019999999993|5267|4351,500000000001|9414|8272,579999999996|686|373,94|
Pollak|2219|6660,919999999999|689|1900,33|1513|4720,429999999998|17|40,16|
