-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2020|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2020||||||||||||
||Januari|202001|Mei|202005|September|202009|||||||
||Februari|202002|Juni|202006|Oktober|202010|||||||
||Maart|202003|Juli|202007|November|202011|||||||
||April|202004|Augustus|202008|December|202012|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------202001----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
Leng|1875|3012,1|656|885,5100000000001|1157|2055,4900000000002|62|71,1|
Heek|3575|5498,349999999998|1133|1684,3299999999997|2402|3759,3199999999993|40|54,7|
Steenbolk|14330|5911,589999999998|5504|2128,11|8742|3747,4300000000003|84|36,05|
Schol|76118|138134,84999999992|50175|91940,92999999993|23174|42111,15999999999|2769|4082,7599999999998|
Bot|26997|9570,06|11688|4343,710000000001|6130|1793,15|9179|3433,1999999999994|
Schar|6980|3063,9299999999994|3825|1717,19|2460|1037,72|695|309,02|
Tong|303183|2675107,33|114446|1017727,5700000006|175591|1549067,51|13146|108312,25000000003|
Tarbot|14927|142448,82000000007|7388|70146,70999999996|7349|70391,39000000004|190|1910,7200000000005|
Griet|12908|96364,51000000008|5309|41538,65|7169|51822,61000000003|430|3003,25|
Tongschar|32727|80527,35999999999|11852|29594,640000000007|19700|49063,01999999998|1175|1869,7|
Schartong|12433|18993,88|4280|5425,08|8029|13464,05|124|104,75|
Heilbot|35|361,53|7|81,53|28|280|-|-|
Hondstong|3918|3490,14|1283|1049,53|2551|2404,49|84|36,12|
Rog|113296|155797,64999999988|47817|58817,37999999998|64219|95661,74999999999|1260|1318,52|
Rode poon|21758|22921,469999999998|10963|13007,659999999998|10672|9825,820000000002|123|87,99|
Grauwe poon|1037|238,52|684|165,17|289|59,379999999999995|64|13,97|
Engelse poon|32724|24833,820000000014|11002|8612,720000000001|21657|16193,570000000003|65|27,53|
Zeewolf|26|119,12|26|119,12|-|-|-|-|
Zeeduivel|42526|300034,86|14341|96453,24000000005|27764|200625,22999999992|421|2956,39|
Kongeraal|1308|919,7300000000001|813|516,7900000000001|495|402,93999999999994|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|11917|16466,219999999998|3954|5820,640000000003|7264|9762,690000000002|699|882,8900000000001|
Zeebaars|2866|23955,609999999997|722|6301,450000000002|1038|8261,33|1106|9392,830000000004|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|35231|10808,980000000001|18278|5836,380000000001|16541|4828,41|412|144,19|
Zandhaai|294|108,77|282|106,33|-|-|12|2,44|
Andere soorten|13061|33253,04999999999|5568|15535,720000000003|7389|17430,020000000004|104|287,31|
|||||||||
Pelagische vis :|||||||||
Totaal|117|53,989999999999995|-|-|78|41,62|39|12,37|
Horsmakereel|113|48,349999999999994|-|-|74|35,98|39|12,37|
Haring|2|2,12|-|-|2|2,12|-|-|
Makreel|2|3,52|-|-|2|3,52|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|152373|337294,92000000016|57358|150875,80000000002|89898|164694,17|5117|21724,950000000004|
Garnaal|13398|83554,24|9065|57397,58|1201|5773,200000000001|3132|20383,460000000003|
Langoestine geheel|7516|51245,409999999996|4198|30525,48|3318|20719,93|-|-|
Langoestine staartje|-|-|-|-|-|-|-|-|
Noordzeekrab|903|6615,849999999999|449|3102,91|447|3449,9400000000005|7|63|
Zeekreeft|68|828,76|56|639,06|12|189,7|-|-|
Andere schaaldieren|789|963,8899999999999|202|276,79999999999995|456|664,82|131|22,27|
Schelpen|39265|22927,379999999997|16190|10374,93|22050|12039,95|1025|512,5|
Inktvis|87476|168821,66000000018|25420|46875,64|61234|121202,30000000002|822|743,7200000000001|
Wulk|2958|2337,7299999999996|1778|1683,3999999999999|1180|654,3299999999999|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202005----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Mei 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|682148|3165105,3599999994|251992|1174586,02|415957|1924522,5199999993|14199|65996,81999999999|
|||||||||
Bodemvissen :|||||||||
Totaal|624390|2940111,1999999993|230060|1070307,5|387782|1843006,9999999993|6548|26796,699999999993|
Schelvis|9003|12354,399999999996|3232|4648,22|5771|7706,179999999999|-|-|
Kabeljauw|10702|28749,879999999986|3175|9846,129999999997|7516|18869,060000000005|11|34,69|
Koolvis|202|181,53|53|53|149|128,53|-|-|
Wijting|4248|6554,619999999998|1375|2204,7000000000007|2743|4222,89|130|127,02999999999999|
Pollak|748|2326,1599999999994|210|860,9999999999998|538|1465,16|-|-|
Leng|1070|1771,3999999999999|330|525,0899999999999|740|1246,3099999999997|-|-|
Heek|2165|3663,67|629|1210,5300000000002|1536|2453,14|-|-|
Steenbolk|2769|1593,18|903|445,28999999999996|1866|1147,8899999999999|-|-|
Schol|107021|209379,6399999999|40705|81275,37000000001|65857|127251,00999999995|459|853,2600000000001|
Bot|15358|5305,619999999999|8689|3001,57|4682|1674,96|1987|629,09|
Schar|6214|4258,480000000001|1392|1002,2299999999999|3561|2414,79|1261|841,46|
Tong|145991|1818111,9000000001|51982|640787,91|92675|1159174,2999999996|1334|18149,69|
Tarbot|18813|158519,85999999984|9080|79318,34000000004|9632|78174,07999999996|101|1027,44|
Griet|7902|63446,509999999966|3766|30556,74|4072|32386,670000000006|64|503,1|
Tongschar|18497|54557,42999999997|5915|18595,870000000003|12582|35961,560000000005|-|-|
Schartong|26113|34699,32|6905|7718,019999999999|19208|26981,300000000007|-|-|
Heilbot|59|628,31|15|178,21|44|450,1|-|-|
Hondstong|2993|4228,13|729|1826,06|2264|2402,0700000000006|-|-|
Rog|158840|228997,95999999993|58328|84158,30999999995|99977|143599,42999999996|535|1240,2199999999998|
Rode poon|6473|8543,759999999995|3228|4689,68|3238|3836,4399999999996|7|17,64|
Grauwe poon|1087|250,03|448|103,38|639|146,64999999999998|-|-|
Engelse poon|4960|3868,91|1342|1047,4600000000003|3618|2821,4499999999994|-|-|
Zeewolf|2559|7677,07|905|2948,63|1654|4728,4400000000005|-|-|
Zeeduivel|22315|197984,7300000001|6263|61508,26999999997|16052|136476,4600000001|-|-|
Kongeraal|439|416,80000000000007|219|156,33|220|260,47|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|4638|12613,64|1711|4862,0700000000015|2925|7750,749999999999|2|0,82|
Zeebaars|976|9486,989999999998|337|3156,33|343|3209,63|296|3121,0299999999997|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|29065|24499,63|14246|10344,789999999999|14672|14007,519999999997|147|147,32|
Zandhaai|556|500,58|118|24,439999999999998|240|379,2|198|96,94|
Andere soorten|12614|34941,05999999998|3830|13253,530000000002|8768|21680,559999999994|16|6,969999999999999|
|||||||||
Pelagische vis :|||||||||
Totaal|290|517,9300000000001|248|440,56|35|72,79|7|4,58|
Horsmakereel|11|7,140000000000001|-|-|4|2,56|7|4,58|
Haring|-|-|-|-|-|-|-|-|
Makreel|279|510,79|248|440,56|31|70,23|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|57468|224476,22999999998|21684|103837,96|28140|81442,73|7644|39195,54|
Garnaal|12521|105370,23000000004|7446|62389,170000000006|1465|11310,420000000002|3610|31670,640000000003|
Langoestine geheel|7649|64561,529999999984|3090|25281,88|4559|39279,649999999994|-|-|
Langoestine staartje|-|-|-|-|-|-|-|-|
Noordzeekrab|1564|13523,169999999998|561|5010,83|1003|8512,34|-|-|
Zeekreeft|87|1152,96|36|281,65000000000003|51|871,31|-|-|
Andere schaaldieren|383|740,16|154|277,55|229|462,61|-|-|
Schelpen|16823|14246,99|6337|5558,690000000001|10486|8688,3|-|-|
Inktvis|12360|16139,710000000003|2962|4209,0599999999995|9223|11488,740000000005|175|441,9099999999999|
Wulk|6081|8741,48|1098|829,13|1124|829,3600000000001|3859|7082,99|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202006----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2020|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|739632|3689808,0299999984|296762|1616536,9200000002|416077|1947285,4799999997|26793|125985,63000000002|
|||||||||
Bodemvissen :|||||||||
Totaal|649870|3312655,599999998|260656|1475826,61|373967|1759710,19|15247|77118,80000000003|
Schelvis|5350|8860,679999999995|3796|6304,489999999998|1554|2556,189999999999|-|-|
Kabeljauw|1965|6913,740000000001|466|1727,7200000000003|1496|5178,779999999999|3|7,24|
Koolvis|23|26,26|4|6,18|19|20,080000000000002|-|-|
Wijting|2779|5822,82|1578|3324,2499999999995|1131|2349,1399999999994|70|149,43|
Pollak|375|1353,6200000000003|45|170,85|330|1182,77|-|-|
Leng|570|1021,5500000000001|249|387,73999999999995|321|633,8100000000001|-|-|
Heek|4510|7198,230000000005|2242|3371,450000000001|2266|3823,4400000000005|2|3,34|
Steenbolk|3430|2430,49|1136|1034,2400000000002|2115|1242,08|179|154,17000000000002|
Schol|191526|376686,79999999993|31799|67405,77999999997|155439|299627,76|4288|9653,26|
Bot|26320|8592,82|17128|5144,18|7974|2469,34|1218|979,3|
Schar|11209|6917,320000000002|4114|2635,7599999999998|7028|4208,4800000000005|67|73,08|
