-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2017|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2017||||||||||||
||Januari|201701|Mei|201705|September|201709|||||||
||Februari|201702|Juni|201706|Oktober|201710|||||||
||Maart|201703|Juli|201707|November|201711|||||||
||April|201704|Augustus|201708|December|201712|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201701----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2017|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1934960|5728100,600000001|700995|2153984,79|1214563|3518744,609999999|19402|55371,19999999999|
|||||||||
Bodemvissen :|||||||||
Totaal|1658857|4576083,55|620153|1799211,91|1021044|2731717,8599999994|17660|45153,77999999999|
Schelvis|5985|15718,209999999994|3094|8589,74|2891|7128,47|-|-|
Kabeljauw|16470|68655,2900000001|8229|31555,580000000005|7776|35275,75000000001|465|1823,9599999999998|
Koolvis|10|21,49|-|-|10|21,49|-|-|
Wijting|20794|26730,699999999993|9904|10948,829999999993|10651|15610,779999999995|239|171,08999999999997|
Pollak|1452|6484,769999999998|539|2191,64|902|4259,5999999999985|11|33,53|
Leng|948|2942,0200000000004|414|1256,53|534|1685,4900000000005|-|-|
Heek|580|1037,1299999999999|198|311,03000000000003|382|726,0999999999999|-|-|
Steenbolk|61959|44087,920000000006|18978|9720,53|41820|33722,969999999994|1161|644,42|
Schol|715061|1100037,9399999995|226738|350251,2599999999|484380|744866,7000000002|3943|4919,979999999999|
Bot|891|686,2899999999997|567|413,21|165|210,05|159|63,02999999999999|
Schar|8122|8621,730000000003|4152|4212,180000000002|3247|3810,0399999999995|723|599,51|
Tong|156576|1574023,4500000002|73017|691052,1099999995|81576|861594,9800000003|1983|21376,36|
Tarbot|42437|348243,56000000006|18238|148289,13|23773|197069,8000000001|426|2884,6300000000006|
Griet|31349|180688,84999999983|12130|72531,30000000006|18636|105261,24999999988|583|2896,2999999999997|
