-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2019|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2019||||||||||||
||Januari|201901|Mei|201905|September|201909|||||||
||Februari|201902|Juni|201906|Oktober|201910|||||||
||Maart|201903|Juli|201907|November|201911|||||||
||April|201904|Augustus|201908|December|201912|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201901----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1465825|5075221,760000002|632947|2452552,389999999|817007|2564928,24|15871|57741,130000000005|
|||||||||
Bodemvissen :|||||||||
Totaal|1171051|3966599,1300000018|494671|1928538,5699999991|664748|1999910,12|11632|38150,44|
Schelvis|7376|13925,789999999999|3977|7803,579999999997|3399|6122,209999999999|-|-|
Kabeljauw|6803|24996,91000000001|4765|18407,14|1922|6233,550000000001|116|356,22|
Koolvis|73|83,27999999999999|71|81,53999999999999|2|1,74|-|-|
Wijting|19892|29718,120000000024|7819|11957,089999999987|11892|17601,929999999993|181|159,09999999999997|
Pollak|2273|8401,28|1627|5962,060000000001|646|2439,2199999999993|-|-|
Leng|946|2483,9|558|1420,57|388|1063,33|-|-|
Heek|1093|1856,58|652|1143,0099999999998|441|713,57|-|-|
Steenbolk|58627|30767,570000000003|18578|9083,67|39171|21107,339999999997|878|576,56|
Schol|486455|1034769,1500000005|159444|341236,18|322377|684204,2899999997|4634|9328,679999999998|
Bot|1823|1692,0400000000002|1158|1119,89|484|463,59|181|108,55999999999999|
Schar|6893|5355,409999999999|3064|2627,0400000000004|3304|2267,5599999999995|525|460,80999999999995|
Tong|125421|1523806,8800000013|69239|834541,0899999997|54814|672505,04|1368|16760,75|
Tarbot|18638|228814,73999999976|10373|128308,22000000003|8021|97731,32|244|2775,2000000000003|
Griet|17265|135986,41000000012|10211|80413,70999999998|6833|53908,28999999996|221|1664,4099999999999|
Tongschar|22513|134910,7|12610|76525,83000000003|9828|57982,79000000001|75|402,08|
Schartong|20053|49452,59|15628|38797,530000000006|4425|10655,06|-|-|
Heilbot|53|716,67|53|716,6700000000001|-|-|-|-|
Hondstong|4478|9463,150000000003|3230|6729,71|1248|2733,4399999999996|-|-|
Rog|75758|158702,31999999986|42803|88177,09000000003|32603|69971,63000000003|352|553,6|
Rode poon|97414|105970,10999999994|46506|55089,510000000024|49373|49750,86000000002|1535|1129,74|
Grauwe poon|531|134,32|367|96,13999999999999|164|38,18|-|-|
Engelse poon|77612|35086,95000000001|24612|11781,639999999996|52655|23067,319999999996|345|237,99|
Zeewolf|-|-|-|-|-|-|-|-|
Zeeduivel|27866|273623,2200000001|13604|127097,23999999986|14085|144617,81999999998|177|1908,16|
Kongeraal|5118|2769,6699999999996|2339|1233,35|2752|1520,12|27|16,2|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|8529|36985,19999999999|5411|24028,030000000006|3106|12897,409999999998|12|59,760000000000005|
Zeebaars|3669|30396,319999999996|1717|13844,180000000004|1935|16352,349999999997|17|199,79|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|57489|21479,280000000002|27570|10688,58|29370|10635,550000000001|549|155,14999999999998|
Zandhaai|59|12,6|17|3,4|42|9,2|-|-|
Andere soorten|16331|64237,97|6668|29624,88|9468|33315,410000000025|195|1297,68|
|||||||||
Pelagische vis :|||||||||
Totaal|4034|8038,030000000001|556|915,6800000000001|3435|7090,87|43|31,48|
Horsmakereel|666|729,12|409|406,74|257|322,38|-|-|
Haring|159|208,51999999999998|38|53,92|78|123,11999999999999|43|31,48|
Makreel|3209|7100,39|109|455,02000000000004|3100|6645,37|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|290740|1100584,6|137720|523098,1400000002|148824|557927,2499999999|4196|19559,21|
Garnaal|21284|80397,18000000001|18507|62960,63|644|4582,28|2133|12854,27|
Langoestine geheel|5112|36685,21|3434|21653,180000000004|1678|15032,03|-|-|
Langoestine staartje|1420|10801,399999999998|1030|7452,99|390|3348,41|-|-|
