-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2019|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2019||||||||||||
||Januari|201901|Mei|201905|September|201909|||||||
||Februari|201902|Juni|201906|Oktober|201910|||||||
||Maart|201903|Juli|201907|November|201911|||||||
||April|201904|Augustus|201908|December|201912|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201901----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
Noordzeekrab|1754|9314,550000000001|827|4373,610000000001|860|4736,250000000001|67|204,69|
Zeekreeft|131|1403,7|83|725,94|48|677,76|-|-|
Andere schaaldieren|2130|2589,9999999999995|575|808,55|1362|1507,3700000000001|193|274,08000000000004|
Schelpen|45204|72062,96999999997|21953|38136,66|22684|33140,710000000014|567|785,6|
Inktvis|210230|882087,56|89682|384544,9600000002|119504|492387,57999999984|1044|5155,0199999999995|
Wulk|3475|5242,03|1629|2441,62|1654|2514,86|192|285,55|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------201902----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1132661|4578235,0200000005|479111|1831564,79|637527|2652641,7499999995|16023|94028,48|
|||||||||
Bodemvissen :|||||||||
Totaal|875185|3705490,1500000004|362407|1417848,44|500469|2211977,2499999995|12309|75664,45999999999|
Schelvis|8409|15568,17|2823|5612,349999999999|5586|9955,820000000003|-|-|
Kabeljauw|5697|17804,25999999999|3125|9462,49|2535|8203,34|37|138,43|
Koolvis|103|177,92|64|99,82000000000001|39|78,10000000000001|-|-|
Wijting|21130|23799,830000000016|8260|9509,899999999994|12755|14143,539999999999|115|146,39|
Pollak|1361|5658,030000000001|501|1968,3200000000002|860|3689,71|-|-|
Leng|941|2380,6400000000003|461|1166,28|477|1207,34|3|7,02|
Heek|1654|3681,4700000000007|669|1417,06|985|2264,41|-|-|
Steenbolk|53563|21892,160000000007|15533|7437,01|37315|14132,700000000003|715|322,45|
Schol|215934|451345,8900000004|107107|223967,59|107043|224784,6800000002|1784|2593,62|
Bot|7093|4743,6|3723|2588,4700000000003|2975|1941,8799999999997|395|213,25000000000003|
Schar|14620|9930,3|4697|3472,79|8791|5749,5|1132|708,01|
Tong|162032|1975903,0399999996|55286|675536,4300000003|101335|1239050,4599999993|5411|61316,15|
Tarbot|14725|207533,53000000032|6962|96541,51999999993|7568|108275,39000000001|195|2716,62|
Griet|17462|143618,70999999996|8224|66704,48999999998|8943|74630,75999999994|295|2283,459999999999|
Tongschar|18978|104334,97999999998|7623|41419,790000000015|11288|62514,17999999999|67|401,01|
Schartong|13212|38060,21999999999|4402|11394,41|8810|26665,809999999998|-|-|
Heilbot|42|505,05|42|505,05|-|-|-|-|
Hondstong|5681|11584,260000000002|2803|6321,159999999999|2878|5263,099999999999|-|-|
Rog|74313|169438,7800000001|27953|65195,030000000035|46269|104024,09999999998|91|219,65|
Rode poon|63428|91638,80000000003|27953|39880,810000000005|34488|50473,659999999974|987|1284,33|
Grauwe poon|760|166,04000000000002|534|120,39000000000001|226|45,65|-|-|
Engelse poon|76661|51959,58000000001|28534|19200,940000000002|47882|32557,199999999997|245|201,44|
Zeewolf|-|-|-|-|-|-|-|-|
Zeeduivel|23490|242160,8700000002|8998|87229,32000000002|14455|154467,55999999997|37|463,99|
Kongeraal|5468|2965,2800000000007|2128|1329,94|3340|1635,3400000000008|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|5389|23466,65000000001|1603|6489,01|3778|16957,88|8|19,76|
Zeebaars|333|3079,629999999999|169|1385,5700000000002|160|1655,2899999999997|4|38,769999999999996|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|47370|26515,929999999993|26071|13378,589999999997|20866|12886,349999999999|433|250,99|
Zandhaai|5|1,1|-|-|5|1,1|-|-|
Andere soorten|15331|55575,43000000002|6159|18513,90999999999|8817|34722,399999999994|355|2339,1200000000003|
|||||||||
Pelagische vis :|||||||||
Totaal|572|1208,56|41|168,02|530|1039,15|1|1,39|
Horsmakereel|274|302,31000000000006|-|-|274|302,31000000000006|-|-|
Haring|4|10,01|-|-|3|8,620000000000001|1|1,39|
Makreel|294|896,24|41|168,02|253|728,22|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|256904|871536,3100000002|116663|413548,32999999996|136528|439625,3499999999|3713|18362,63|
Garnaal|14392|66617,82|12225|49237,82000000001|483|3089,3|1684|14290,699999999999|
Langoestine geheel|2909|29001,79|2909|29001,79|-|-|-|-|
Langoestine staartje|938|8151,42|938|8151,42|-|-|-|-|
Noordzeekrab|2009|11230,520000000002|966|5313,500000000001|1018|5783,0199999999995|25|134|
Zeekreeft|74|795,08|54|552,6100000000001|20|242,47|-|-|
Andere schaaldieren|1423|2538,8599999999997|301|564,39|1061|1867,2|61|107,27|
Schelpen|44217|57793,70999999998|17619|26666,860000000008|25763|30180,759999999987|835|946,0899999999999|
Inktvis|185513|686678,7100000001|80174|292061,19999999995|104781|392815,68999999994|558|1801,82|
Wulk|5429|8728,399999999998|1477|1998,74|3402|5646,910000000001|550|1082,75|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------201903----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|953819|4852275,110000002|359978|1845020,9299999992|569085|2864782,890000001|24756|142471,29|
|||||||||
Bodemvissen :|||||||||
Totaal|775320|4353394,800000002|281498|1609340,5199999993|473221|2616078,570000001|20601|127975,71|
Schelvis|8287|17646,9|2609|5422,289999999999|5678|12224,61|-|-|
Kabeljauw|6117|20293,859999999993|1885|5975,049999999998|4186|14149,090000000004|46|169,72|
Koolvis|23|31,76|4|4,96|19|26,8|-|-|
Wijting|26500|24810,09999999999|7433|8522,599999999999|18750|16094,789999999997|317|192,71|
Pollak|2443|9394,97|657|2898,25|1786|6496,719999999998|-|-|
Leng|1255|2985,49|255|719,2000000000002|1000|2266,29|-|-|
Heek|3280|6939,7400000000025|881|1775,48|2399|5164,260000000002|-|-|
Steenbolk|43875|23230,670000000006|7105|5911,229999999999|36517|17028,440000000002|253|291|
Schol|89606|217025,56999999992|47312|112892,92999999998|38677|96377,12999999998|3617|7755,510000000001|
Bot|19800|13695,549999999997|10777|7642,569999999999|6395|4372,290000000001|2628|1680,69|
Schar|17273|9720,649999999998|6009|3390,020000000001|10439|5733,939999999997|825|596,69|
Tong|221954|2740764,890000003|84093|1028806,0099999993|129451|1613613,6400000008|8410|98345,24|
Tarbot|13397|204872,13999999978|5667|84982,29|7433|115511,25000000001|297|4378,6|
Griet|18137|177387,63000000003|6375|63956,220000000016|11080|107576,57|682|5854,840000000001|
Tongschar|23836|119550,53000000001|8239|40745,229999999996|15411|77814,71999999999|186|990,5800000000002|
Schartong|24247|55097,23000000001|5777|10732,570000000003|18470|44364,66|-|-|
Heilbot|6|69|6|69|-|-|-|-|
Hondstong|6893|14521,020000000002|2213|4076,7699999999995|4680|10444,25|-|-|
Rog|45260|177370,08000000002|19028|68908,19999999998|25800|107558,04999999996|432|903,83|
Rode poon|50351|83671,73|14290|27908,729999999996|34502|53185,74000000001|1559|2577,26|
Grauwe poon|779|234,95999999999998|461|124,82000000000002|318|110,14|-|-|
Engelse poon|46024|44908,24999999997|12088|13286,949999999997|33690|31431,769999999997|246|189,53|
Zeewolf|1|2,96|1|2,96|-|-|-|-|
Zeeduivel|26166|273252,7599999997|7465|73328,12999999999|18596|198629,28999999986|105|1295,34|
Kongeraal|3649|3082,7300000000005|1512|1355,78|2102|1675,9999999999998|35|50,949999999999996|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|4516|23533,53999999997|1273|6721,200000000002|3234|16788,170000000006|9|24,17|
Zeebaars|77|954,23|-|-|4|58,12|73|896,1100000000001|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|60447|38610,100000000006|24545|13381,360000000002|35267|24988,360000000004|635|240,38|
Zandhaai|13|6,59|13|6,59|-|-|-|-|
Andere soorten|11108|49729,17000000001|3525|15793,129999999994|7337|32393,47999999999|246|1542,56|
|||||||||
Pelagische vis :|||||||||
Totaal|1479|629,94|3|3,7800000000000002|1467|618,34|9|7,82|
Horsmakereel|50|63,7|-|-|50|63,7|-|-|
Haring|1366|358,18|2|1,26|1355|349,1|9|7,82|
Makreel|63|208,06|1|2,52|62|205,54000000000002|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|177020|498250,3699999998|78477|235676,63|94397|248085,98000000016|4146|14487,759999999998|
Garnaal|31247|102904,05999999997|27952|88271,81|1414|5442,05|1881|9190,199999999997|
Langoestine geheel|1232|10082,430000000002|1232|10082,430000000002|-|-|-|-|
Langoestine staartje|473|4470,56|358|3318,06|115|1152,5|-|-|
Noordzeekrab|1380|10414,350000000006|449|3242,75|899|6915,34|32|256,26|
Zeekreeft|49|613,8900000000001|26|295,21000000000004|23|318,67999999999995|-|-|
Andere schaaldieren|1405|1898,53|324|366,96999999999997|1011|1384,9599999999996|70|146,6|
Schelpen|52444|61949,22|19291|27065,339999999993|31975|33619,200000000004|1178|1264,6799999999998|
Inktvis|78800|288726,3099999998|26493|99227,23000000001|51668|186653,24000000014|639|2845,84|
Wulk|9990|17191,02|2352|3806,8300000000004|7292|12600,01|346|784,1800000000001|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------201904----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - April 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1058792|4981764,57|456785|2082584,7399999998|555390|2709965,8300000005|46617|189213,99999999997|
|||||||||
Bodemvissen :|||||||||
Totaal|950671|4689457,470000001|393225|1891134,3499999996|516188|2633419,860000001|41258|164903,25999999995|
Schelvis|16674|20955,779999999995|5780|7694,940000000001|10634|13021,740000000005|260|239,09999999999997|
Kabeljauw|17170|50538,03000000004|6578|19178,230000000003|10459|30947,610000000004|133|412,19000000000005|
Koolvis|198|279,11000000000007|97|150,19|101|128,92|-|-|
Wijting|12636|13134,01999999999|5315|5370,559999999999|6970|7517,049999999997|351|246,41000000000003|
Pollak|1764|6854,540000000002|684|2754,3699999999994|1070|4070,6699999999996|10|29,5|
Leng|1744|3713,3400000000006|634|1426,5399999999997|1103|2276,3|7|10,5|
Heek|6335|12656,230000000001|2108|4435,74|4163|8141,619999999999|64|78,87|
Steenbolk|8005|4874,159999999999|2280|1823,47|5579|2978,0799999999995|146|72,60999999999999|
Schol|176267|447462,73|75078|187102,1600000001|93195|243222,25000000003|7994|17138,32|
Bot|36490|22777,089999999997|22699|14665,089999999997|4370|3051,76|9421|5060,24|
Schar|14425|8204,15|7622|4409,139999999999|5600|3091,08|1203|703,9299999999998|
Tong|232247|2697565,840000001|93243|1085731,6399999994|129506|1504413,3000000003|9498|107420,89999999997|
Tarbot|15403|202725,01000000004|7498|100907,18|7719|99333,68000000008|186|2484,1500000000005|
Griet|12863|125398,86|5000|51348,039999999986|7208|68900,36999999997|655|5150,449999999999|
Tongschar|59796|221746,13999999996|21246|82625,77000000003|37813|137426,47000000003|737|1693,9|
Schartong|33100|44550,420000000006|13182|16396,780000000002|19918|28153,639999999996|-|-|
Heilbot|205|2471,44|173|2050,33|32|421,10999999999996|-|-|
Hondstong|7924|12177,20999999999|3269|5477,299999999997|4637|6679,400000000001|18|20,51|
Rog|142976|224303,55999999997|58945|92634,75000000001|81047|126180,77000000009|2984|5488,04|
Rode poon|20991|28134,17000000001|10851|16922,22|9893|10927,890000000003|247|284,06000000000006|
Grauwe poon|2519|592,8099999999998|1371|323,24|1112|262,37|36|7,2|
Engelse poon|16896|12904,250000000013|4078|3474,009999999999|12656|9339,280000000002|162|90,96000000000001|
Zeewolf|1515|5647,27|401|1567,89|1114|4079,38|-|-|
Zeeduivel|42684|400766,1800000002|14798|140699,69999999998|27555|256934,02|331|3132,46|
Kongeraal|1293|1346,17|482|595,7200000000001|808|749,9700000000001|3|0,48|
Roodbaars|6|6,42|-|-|6|6,42|-|-|
Mul|5173|30236,389999999996|1740|10788,699999999999|3372|19075,809999999998|61|371,88|
Zeebaars|1806|21465,489999999998|421|4846,3|406|4206,580000000001|979|12412,61|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|47295|18172,850000000002|21828|8021,499999999998|19959|8921,039999999999|5508|1230,3100000000002|
Zandhaai|298|97,47000000000001|211|63,28000000000001|59|26,37|28|7,82|
Andere soorten|13973|47700,33999999996|5613|17649,570000000003|8124|28934,910000000007|236|1115,8600000000001|
|||||||||
Pelagische vis :|||||||||
Totaal|99|68,75|7|5,98|76|52,629999999999995|16|10,14|
Horsmakereel|83|57,18|7|5,98|75|51,15|1|0,05|
Haring|13|7,75|-|-|-|-|13|7,75|
Makreel|3|3,8200000000000003|-|-|1|1,48|2|2,34|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|108022|292238,35|63553|191444,41000000003|39126|76493,34|5343|24300,600000000006|
Garnaal|45994|151782,97|39503|124297,05000000002|2162|6591,859999999999|4329|20894,060000000005|
Langoestine geheel|925|4430,16|925|4430,16|-|-|-|-|
Langoestine staartje|3221|21956,56|2756|18784,339999999997|465|3172,2200000000003|-|-|
Noordzeekrab|2098|15809,789999999994|966|7761,479999999999|1107|7873,8099999999995|25|174,5|
Zeekreeft|134|2187,34|58|898,7199999999999|76|1288,6200000000006|-|-|
Andere schaaldieren|829|964,8800000000002|310|377,18|493|534,92|26|52,78|
Schelpen|31461|34497,58|11443|16547,959999999995|19772|17750,989999999998|246|198,63|
Inktvis|20262|55512,27000000003|5928|15622,880000000005|13633|36940,76|701|2948,63|
Wulk|3098|5096,799999999999|1664|2724,64|1418|2340,1599999999994|16|32|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------201905----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Mei 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1081854|4447506,909999996|390878|1729987,0100000002|648823|2548788,010000001|42153|168731,88999999998|
|||||||||
Bodemvissen :|||||||||
Totaal|1009238|4215514,909999996|354693|1611923,0200000003|621109|2467975,8200000008|33436|135616,07|
Schelvis|15456|21211,96|6465|8746,26|8991|12465,699999999993|-|-|
Kabeljauw|27093|67350,65|6850|15215,339999999997|20203|52013,219999999994|40|122,08999999999999|
Koolvis|625|689,9899999999999|161|160,33|464|529,66|-|-|
Wijting|6436|7343,970000000002|3364|3742,6600000000008|2567|3158,5199999999995|505|442,79|
Pollak|978|3471,560000000001|399|1365,1800000000003|574|2088,88|5|17,5|
Leng|1434|2656,9599999999996|574|980,1700000000001|860|1676,79|-|-|
Heek|3705|7472,399999999997|1358|3090,2400000000002|2347|4382,160000000001|-|-|
Steenbolk|4606|2512,8299999999995|2473|1091,62|1946|1272,8600000000001|187|148,35000000000002|
Schol|382819|840229,6799999995|99897|224328,38000000012|273755|595857,8399999997|9167|20043,460000000003|
Bot|14968|9430,13|4057|2891,529999999999|4063|2668,3199999999997|6848|3870,28|
Schar|15437|9880,670000000006|4064|2414,6200000000003|10097|6673,320000000001|1276|792,73|
Tong|147039|1961579,3899999973|68179|854205,6599999996|73894|1041718,6000000002|4966|65655,13|
Tarbot|26646|297577,8799999999|10633|126991,03000000009|15078|158948,43999999994|935|11638,410000000003|
Griet|10255|102028,12999999999|5737|56004,27999999998|3775|38397,86999999999|743|7625,980000000001|
Tongschar|49369|160719,9899999999|12799|44586,03999999999|36363|115132,86000000003|207|1001,09|
Schartong|35788|53655,95999999999|8438|12258,949999999997|27350|41397,009999999995|-|-|
Heilbot|318|3712,859999999999|74|863,26|244|2849,5999999999995|-|-|
Hondstong|9668|12911,119999999999|3556|4081,5499999999997|6112|8829,57|-|-|
Rog|136654|237633,8799999998|63486|103806,75000000004|69872|126640,96000000008|3296|7186,170000000002|
Rode poon|15261|22901,80000000001|6867|8756,65|8182|13718,66|212|426,49|
Grauwe poon|3362|821,2399999999999|1362|322,74000000000007|2000|498,49999999999983|-|-|
Engelse poon|4960|2923,7400000000002|2804|1431,6199999999997|2139|1483,8099999999997|17|8,31|
Zeewolf|5150|12803,289999999999|1660|3635,7000000000003|3490|9167,59|-|-|
Zeeduivel|27894|275117,2800000002|9835|90428,73999999999|17970|183683,8000000001|89|1004,74|
Kongeraal|1133|1342,4299999999996|473|644,3100000000001|660|698,1200000000001|-|-|
Roodbaars|19|20,52|19|20,52|-|-|-|-|
Mul|2212|11570,150000000007|952|5207,609999999999|1206|6146,080000000002|54|216,45999999999998|
Zeebaars|1495|18229,89|437|4941,04|83|1047,98|975|12240,869999999999|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|43884|23901,13|21440|9757,090000000002|18807|12372,739999999998|3637|1771,3|
Zandhaai|204|53,37|181|48,769999999999996|-|-|23|4,6|
Andere soorten|14370|43760,060000000005|6099|19904,38000000001|8017|22456,36|254|1399,3200000000002|
|||||||||
Pelagische vis :|||||||||
Totaal|1263|1626,87|466|699,7199999999999|638|869,7199999999999|159|57,43|
Horsmakereel|208|89,72|14|9,42|40|25,650000000000002|154|54,65|
Haring|3|0,46|-|-|-|-|3|0,46|
Makreel|1050|1534,37|452|690,3|598|844,0699999999999|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|2|2,32|-|-|-|-|2|2,32|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|71353|230365,13|35719|117364,27000000002|27076|79942,47000000002|8558|33058,38999999999|
Garnaal|26135|104577,87|17091|66483,34000000001|3399|12706,64|5645|25387,89|
Langoestine geheel|1266|6472,030000000002|337|2342,91|929|4129,120000000001|-|-|
Langoestine staartje|3920|24707,48|1501|9352,18|2419|15355,3|-|-|
Noordzeekrab|3613|16128,110000000002|1495|7165,709999999999|2052|8639,6|66|322,8|
Zeekreeft|203|2344,02|105|1120,5100000000002|98|1223,51|-|-|
Andere schaaldieren|1051|931,8800000000001|701|463,23999999999995|286|379,71999999999997|64|88,92|
Schelpen|14641|23077,200000000004|8160|14217,470000000001|6301|8429,730000000001|180|430|
Inktvis|11952|37466,479999999996|4018|12377,100000000004|7076|21403,940000000006|858|3685,44|
Wulk|8572|14660,060000000001|2311|3841,8100000000004|4516|7674,910000000001|1745|3143,3399999999997|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------201906----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2019|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|805965|3905669,1100000003|11585|56343,049999999996|744415|3663058,4700000007|49965|186267,59000000003|
|||||||||
Bodemvissen :|||||||||
Totaal|702921|3589318,5700000003|2680|13033,6|672700|3456857,980000001|27541|119426,99000000002|
Schelvis|6936|12104,620000000003|-|-|6936|12104,619999999997|-|-|
Kabeljauw|5869|18114,880000000005|-|-|5858|18066,780000000002|11|48,099999999999994|
Koolvis|149|177,51|-|-|149|177,51|-|-|
Wijting|3088|5692,949999999999|-|-|3034|5644,340000000001|54|48,61|
Pollak|284|982,6799999999998|-|-|284|982,6799999999997|-|-|
Leng|561|992,5500000000002|-|-|561|992,5500000000002|-|-|
Heek|4643|7812,550000000001|-|-|4643|7812,55|-|-|
Steenbolk|4132|2201,99|-|-|4046|2079,08|86|122,91|
