-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2016|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2016||||||||||||
||Januari|201601|Mei|201605|September|201609|||||||
||Februari|201602|Juni|201606|Oktober|201610|||||||
||Maart|201603|Juli|201607|November|201611|||||||
||April|201604|Augustus|201608|December|201612|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201601----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1949565|6239424,799999999|635646|1999429,5699999994|1311947|4228674,079999999|1972|11321,15|
|||||||||
Bodemvissen :|||||||||
Totaal|1671650|5359281,379999999|548664|1685161,8899999994|1121432|3665783,539999999|1554|8335,95|
Schelvis|10839|22150,150000000005|676|2115,7899999999995|10163|20034,360000000008|-|-|
Kabeljauw|48202|158732,44|13301|46087,42999999997|34295|110472,21000000002|606|2172,7999999999997|
Koolvis|376|606,84|16|21,56|360|585,28|-|-|
Wijting|28187|37956,610000000015|9756|13907,680000000004|18381|24011,960000000003|50|36,970000000000006|
Pollak|3225|11075,729999999998|373|1362,8500000000001|2852|9712,88|-|-|
Leng|2440|6093,559999999999|148|438,15999999999997|2292|5655,399999999999|-|-|
Heek|907|2431,790000000001|21|50,31|886|2381,4799999999996|-|-|
Steenbolk|50985|38603,18000000001|21959|13720,989999999998|28993|24836,649999999998|33|45,54|
Schol|826931|1260097,0399999993|248714|382453,4499999999|578168|877591,64|49|51,949999999999996|
Bot|3622|3244,91|3110|2831,34|454|377,90999999999997|58|35,660000000000004|
Schar|13123|11770,459999999995|6561|5324,6900000000005|6252|6159,129999999999|310|286,64|
Tong|164825|2036976,970000001|54361|651935,0599999999|110063|1379549,9399999992|401|5491,969999999999|
Tarbot|34511|332622,42000000016|12388|123436,62999999993|22107|209011,34000000005|16|174,45|
Griet|28646|168101,17999999996|10142|60205,36999999997|18503|107892,35000000005|1|3,46|
Tongschar|47621|327559,3399999996|12320|78534,16999999995|35301|249025,17000000007|-|-|
Schartong|15904|54320,06|2147|6655,62|13757|47664,44|-|-|
Heilbot|11|146,13|-|-|11|146,13|-|-|
Hondstong|3800|7948,4000000000015|1100|2113,5800000000004|2700|5834,819999999999|-|-|
Rog|96238|209557,97000000018|31836|72198,27999999994|64398|137344,56999999998|4|15,12|
Rode poon|119673|112053,61000000003|60532|64219,2|59141|47834,409999999974|-|-|
Grauwe poon|463|96|5|1,15|458|94,85000000000001|-|-|
Engelse poon|41316|21442,51|10893|5117,7699999999995|30423|16324,74|-|-|
Zeewolf|1469|6163,52|63|191,39|1406|5972,13|-|-|
Zeeduivel|33424|364688,04999999964|8287|79075,18000000002|25137|285612,8700000001|-|-|
Kongeraal|6618|7819,380000000003|1921|2434,7299999999996|4697|5384,65|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|10833|32944,69000000001|6790|26310,899999999994|4043|6633,79|-|-|
Zeebaars|1986|21947,350000000002|848|10645,790000000006|1138|11301,56|-|-|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|59203|34328,880000000005|25721|14726,539999999997|33472|19596,74|10|5,6|
Zandhaai|468|353,89|113|93,21000000000001|355|260,68|-|-|
Andere soorten|15804|67448,32000000002|4562|18953,07|11226|48479,45999999999|16|15,79|
|||||||||
Pelagische vis :|||||||||
Totaal|2608|5620,990000000002|2240|4856,18|290|651,01|78|113,79999999999998|
Horsmakereel|316|429,2|242|340,21999999999997|74|88,97999999999999|-|-|
Haring|368|767,9100000000001|212|418,18|101|272,69|55|77,03999999999999|
Makreel|1879|4359,620000000001|1764|4070,28|115|289,34|-|-|
Sprot|45|64,25999999999999|22|27,5|-|-|23|36,76|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|275307|874522,43|84742|309411,49999999994|190225|562239,5299999999|340|2871,4|
Garnaal|2656|20403,93|2266|17132,53|50|400|340|2871,4|
Langoestine geheel|3607|23154,820000000003|3572|22995,580000000005|35|159,24|-|-|
Langoestine staartje|387|4531,79|366|4244,210000000001|21|287,58|-|-|
Noordzeekrab|2671|7942,929999999999|791|2534,87|1880|5408,059999999999|-|-|
Zeekreeft|114|1035,7|69|570,8000000000003|45|464,9|-|-|
Andere schaaldieren|518|138,51999999999998|6|5,779999999999999|512|132,74|-|-|
Schelpen|48002|156246,42000000004|15945|54131,199999999975|32057|102115,22|-|-|
Inktvis|213005|657652,19|60319|206459,07999999996|152686|451193,1099999998|-|-|
Wulk|4347|3416,1300000000006|1408|1337,4500000000003|2939|2078,6800000000003|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201602----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1637584|5949074,150000001|546560|1936368,0599999996|1089676|4003895,8699999982|1348|8810,219999999998|
|||||||||
Bodemvissen :|||||||||
Totaal|1319966|4901092,78|452225|1608245,0199999996|866758|3288461,7599999984|983|4385,999999999999|
Schelvis|9639|21000,319999999996|3197|6823,970000000001|6442|14176,35|-|-|
Kabeljauw|24995|83213,00999999997|7977|26702,589999999993|16669|55356,62999999998|349|1153,79|
Koolvis|263|440,48|7|16,3|256|424,18|-|-|
Wijting|44896|46382,120000000024|20822|19330,939999999988|24067|27046,23|7|4,95|
Pollak|6892|22308,05999999998|2322|7079,960000000004|4570|15228,100000000002|-|-|
Leng|2020|5319,129999999999|666|1575,6000000000001|1354|3743,5300000000007|-|-|
Heek|450|1330,7399999999998|165|521,4399999999999|285|809,3000000000001|-|-|
Steenbolk|83388|47374,029999999984|25580|12709,06|57808|34664,96999999999|-|-|
Schol|404327|672235,4200000003|120672|195830,83999999997|283593|476320,98000000004|62|83,59999999999998|
Bot|5369|3805,5|3330|2409,6400000000003|1985|1371,1299999999999|54|24,73|
Schar|20695|20752,020000000004|7584|7391,199999999999|12836|13102,150000000001|275|258,67|
Tong|212574|2409877,1699999985|68639|752746,2599999998|143711|1654355,4299999985|224|2775,4799999999996|
Tarbot|22202|262838,6500000001|7215|85050,85999999996|14980|177713,20000000013|7|74,59|
Griet|22282|160062,89999999976|7751|54751,73999999993|14530|105302,24999999988|1|8,91|
Tongschar|37914|245934,18000000002|13759|81476,79|24155|164457,38999999998|-|-|
Schartong|4957|15920,749999999998|2946|9752,369999999999|2011|6168,380000000001|-|-|
Heilbot|10|136,85999999999999|-|-|10|136,85999999999999|-|-|
Hondstong|4120|9718,37|3090|6821,049999999999|1030|2897,3199999999997|-|-|
Rog|61104|167589,57000000004|27959|76102,12999999998|33145|91487,43999999999|-|-|
Rode poon|171441|176330,1099999999|64554|77509,20999999998|106887|98820,90000000001|-|-|
Grauwe poon|151|31,780000000000005|48|10,26|103|21,520000000000003|-|-|
Engelse poon|51325|31164,75999999998|12103|5992,240000000001|39222|25172,519999999997|-|-|
Zeewolf|1103|4557,57|-|-|1103|4557,57|-|-|
Zeeduivel|23665|273235,36999999994|8641|87684,49999999994|15024|185550,86999999997|-|-|
Kongeraal|7857|8314,299999999997|2230|2053,490000000001|5627|6260,809999999997|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|19336|80858,50000000004|7354|31752,140000000003|11982|49106,35999999999|-|-|
Zeebaars|2826|34157,109999999986|1102|13795,939999999999|1724|20361,16999999998|-|-|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|61939|44964,090000000004|27473|19905,770000000004|34462|25057,039999999997|4|1,28|
Zandhaai|253|189,95999999999998|69|38,32000000000001|184|151,64|-|-|
Andere soorten|11973|51049,95000000003|4970|22410,410000000003|7003|28639,539999999983|-|-|
|||||||||
Pelagische vis :|||||||||
Totaal|15511|17530,359999999997|8513|9449,76|6989|8061,490000000001|9|19,11|
Horsmakereel|6082|3064,89|2469|1564,4499999999998|3613|1500,4399999999998|-|-|
Haring|551|1014,3|391|653,7499999999999|151|341,44|9|19,11|
Makreel|8778|13306,57|5553|7086,96|3225|6219,610000000001|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|100|144,6|100|144,6|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|302107|1030451,0100000008|85822|318673,28|215929|707372,6199999995|356|4405,11|
Garnaal|2196|19896,410000000003|1437|12110,87|403|3380,4300000000003|356|4405,11|
Langoestine geheel|2077|20157,170000000002|2077|20157,170000000002|-|-|-|-|
Langoestine staartje|230|3066,98|222|2973,38|8|93,6|-|-|
Noordzeekrab|1980|9189,290000000003|534|2686,0399999999995|1446|6503,250000000003|-|-|
Zeekreeft|90|887,82|83|825,5600000000003|7|62,26|-|-|
Andere schaaldieren|441|189,60000000000002|6|7,550000000000001|435|182,05|-|-|
Schelpen|77923|245553,91000000003|25339|82338,29999999997|52584|163215,60999999996|-|-|
Inktvis|212826|726835,3000000007|53890|195070,49000000008|158936|531764,8099999996|-|-|
Wulk|4344|4674,530000000001|2234|2503,919999999999|2110|2170,6099999999997|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201603----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Maart 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1598748|6602144,610000001|625364|2374570,77|969182|4204656,440000002|4202|22917,4|
|||||||||
Bodemvissen :|||||||||
Totaal|1309768|5592498,910000001|541620|2015205,0599999998|764785|3564123,1300000018|3363|13170,720000000001|
Schelvis|7687|16087,92|2624|5429,5599999999995|5063|10658,360000000002|-|-|
Kabeljauw|28636|90755,17000000003|14238|46995,91000000003|14112|42761,23999999999|286|998,02|
Koolvis|113|242,55000000000007|50|115,22999999999999|63|127,32|-|-|
Wijting|56346|49203,68000000003|29507|22525,049999999985|26820|26669,580000000005|19|9,049999999999999|
Pollak|9969|29940,31000000001|2748|8557,180000000002|7221|21383,13|-|-|
Leng|5544|12601,230000000001|892|2233,5399999999995|4652|10367,689999999999|-|-|
