-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2018|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2018||||||||||||
||Januari|201801|Mei|201805|September|201809|||||||
||Februari|201802|Juni|201806|Oktober|201810|||||||
||Maart|201803|Juli|201807|November|201811|||||||
||April|201804|Augustus|201808|December|201812|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201801----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2018|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1724428|5794730,769999998|599398|1989380,17|1122087|3789703,6299999985|2943|15646,970000000001|
|||||||||
Bodemvissen :|||||||||
Totaal|1395325|4354969,009999998|457147|1375237,1499999997|936090|2972785,619999999|2088|6946,240000000001|
Schelvis|3581|8614,85|839|2415,8999999999996|2742|6198,949999999999|-|-|
Kabeljauw|7456|26743,18000000001|2565|8905,120000000003|4222|15960,380000000003|669|1877,6799999999998|
Koolvis|6|17,04|-|-|6|17,04|-|-|
Wijting|36949|45627,13000000001|16230|18479,099999999995|20662|27120,339999999997|57|27,69|
Pollak|1297|5832,55|339|1639,22|958|4193,329999999999|-|-|
Leng|706|2193,7200000000007|305|911,41|401|1282,31|-|-|
Heek|456|1478,5200000000002|39|121,78999999999999|417|1356,7300000000002|-|-|
Steenbolk|81217|40379,56|25779|12302,060000000001|55376|28059,579999999998|62|17,92|
Schol|705657|1260801,62|216079|364056,79999999993|489424|896603,0399999992|154|141,78000000000003|
Bot|1028|941,78|118|90,99|830|808,54|80|42,25|
Schar|7505|7840,279999999999|2663|2981,9499999999994|4301|4438,37|541|419,96000000000004|
Tong|116375|1489328,649999998|37969|471498,7499999997|78088|1013914,2400000001|318|3915,6600000000003|
Tarbot|25601|298283,97000000015|8210|92195,19999999998|17373|205916,9800000001|18|171,79|
Griet|15131|119787,20999999996|5960|47056,12|9144|72529,94|27|201,15000000000003|
Tongschar|18017|138637,27000000002|6187|48977,55999999999|11830|89659,71000000004|-|-|
Schartong|2790|9126,95|708|2336,8100000000004|2082|6790,14|-|-|
Heilbot|56|667,15|27|336,25|29|330,9|-|-|
Hondstong|1394|4429,250000000001|434|1261,8899999999999|960|3167,3599999999997|-|-|
Rog|71733|206326,3800000001|26042|73558,39|45661|132701,14|30|66,85|
Rode poon|116804|167647,07999999993|45322|63917,85000000001|71482|103729,22999999998|-|-|
Grauwe poon|565|181,79999999999998|255|86,14000000000001|310|95,66|-|-|
Engelse poon|59626|37109,67000000001|17845|10529,730000000001|41781|26579,94000000001|-|-|
Zeewolf|1|3,44|1|3,44|-|-|-|-|
Zeeduivel|18533|229657,9799999999|7011|71186,33000000002|11522|158471,65|-|-|
Kongeraal|6139|5390,620000000003|2250|2107,6|3889|3283,020000000001|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|13607|68019,91|5154|23391,3|8453|44628,61000000001|-|-|
Zeebaars|2529|27402,159999999993|713|7357,950000000001|1814|20026,569999999996|2|17,64|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|54156|37057,30000000001|20046|11426,789999999999|33983|25586,14|127|44,370000000000005|
Zandhaai|24|5,12|24|5,12|-|-|-|-|
Andere soorten|26386|115436,86999999995|8033|36099,58999999999|18350|79335,77999999998|3|1,5|
|||||||||
Pelagische vis :|||||||||
Totaal|8021|10311,09|2789|5248,35|5119|4962,339999999999|113|100,4|
Horsmakereel|5117|2948,55|1134|722,83|3983|2225,72|-|-|
Haring|703|686,5000000000001|98|278,17|492|307,93|113|100,4|
Makreel|2134|6506,179999999999|1541|4201,43|593|2304,75|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|67|169,86|16|45,92|51|123,94|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|321082|1429450,6699999995|139462|608894,6700000002|180878|811955,6699999996|742|8600,33|
Garnaal|1597|16251,630000000001|855|7651,3|-|-|742|8600,33|
Langoestine geheel|3639|21193,22|2998|17499,05|641|3694,17|-|-|
Langoestine staartje|828|8084,33|648|6334,97|180|1749,3600000000001|-|-|
Noordzeekrab|1834|8971,689999999997|691|3131,7999999999997|1143|5839,890000000001|-|-|
Zeekreeft|125|1096,0099999999998|93|748,8799999999999|32|347,13|-|-|
Andere schaaldieren|1384|817,6799999999998|366|232,04|1018|585,6399999999998|-|-|
Schelpen|62208|175468,60000000006|22187|63155,41000000001|40021|112313,19000000012|-|-|
Inktvis|245729|1192398,0699999994|110884|508988,24000000017|134845|683409,8299999995|-|-|
Wulk|3738|5169,44|740|1152,98|2998|4016,46|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201802----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2018|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1044444|4438615,279999999|350761|1572322,4399999995|673113|2779316,86|20570|86975,98000000001|
|||||||||
Bodemvissen :|||||||||
Totaal|782822|3356497,669999999|268895|1211090,2899999996|499018|2079697,0399999998|14909|65710,34000000001|
Schelvis|7340|15614,37|2683|6614,08|4657|9000,29|-|-|
Kabeljauw|9326|26968,620000000024|3348|11632,509999999997|5904|15114,31|74|221,79999999999998|
Koolvis|93|188,29000000000002|54|122,88|39|65,41|-|-|
Wijting|28215|27234,39999999998|10994|11408,91|17091|15743,279999999992|130|82,21000000000001|
Pollak|3011|11211,550000000003|1238|4759,949999999999|1769|6435,480000000002|4|16,12|
Leng|1534|4218,079999999999|551|1708,27|983|2509,8100000000004|-|-|
Heek|1129|2895,5299999999993|57|172,69000000000003|1072|2722,84|-|-|
Steenbolk|51783|25132,57|19426|7920,280000000001|30408|15877,800000000001|1949|1334,49|
Schol|195240|383411,21000000014|50255|100728,00000000001|142127|277632,39|2858|5050,82|
Bot|5460|4110,71|3391|2649,8300000000004|1669|1137,12|400|323,76|
Schar|10201|9454,849999999999|4825|4527,859999999999|4800|4361,189999999998|576|565,8|
Tong|128440|1607897,1699999992|48161|597859,5899999997|77415|974288,9000000001|2864|35748,680000000015|
Tarbot|14707|194451,95000000007|5572|74900,17999999996|8679|113676,33000000005|456|5875,44|
Griet|15649|132123,82|7287|63950,69000000002|7842|63885,729999999996|520|4287,4|
Tongschar|22320|147825,3400000001|7233|47749,460000000014|14962|99131,44999999997|125|944,4300000000001|
Schartong|10492|27485,400000000005|2446|6234,770000000001|8046|21250,63|-|-|
Heilbot|11|139,2|11|139,2|-|-|-|-|
Hondstong|4743|10707,539999999999|1246|3410,8499999999995|3497|7296,6900000000005|-|-|
Rog|50804|134293,75000000012|21924|58606,719999999994|28504|74617,90000000001|376|1069,1300000000003|
Rode poon|80535|125343,88000000005|36679|61154,53999999999|40894|58853,5|2962|5335,84|
Grauwe poon|376|83,73|148|29,779999999999998|228|53,95|-|-|
Engelse poon|49261|39782,84000000002|11683|9916,68|37403|29736,609999999986|175|129,55|
Zeewolf|3|12,21|-|-|3|12,21|-|-|
Zeeduivel|25112|294032,4299999999|6383|75220,18999999996|18614|217239,53000000003|115|1572,71|
Kongeraal|5374|4271,25|1277|1066,7900000000002|4081|3181,5800000000004|16|22,88|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|4155|20368,960000000006|1090|7227,670000000001|3054|13110,699999999993|11|30,59|
Zeebaars|1142|10378,989999999996|232|2276,28|910|8102,709999999997|-|-|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|43691|21348,370000000006|15001|9156,82|27632|11182,400000000003|1058|1009,15|
Zandhaai|21|6,9|7|1,8599999999999999|14|5,04|-|-|
Andere soorten|12654|75503,76000000001|5693|39942,96000000001|6721|33471,259999999995|240|2089,54|
|||||||||
Pelagische vis :|||||||||
Totaal|5502|4401,05|1520|1980,32|3885|2378,05|97|42,67999999999999|
Horsmakereel|1760|1008,1400000000001|776|480,92|984|527,22|-|-|
Haring|3080|1053,5299999999997|374|224,77999999999997|2609|786,0699999999999|97|42,67999999999999|
Makreel|662|2339,38|370|1274,62|292|1064,76|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
